S. No,Category,State/UT,Punishment for Rape (Sec.376 & 376(I),Rape in Custody (Section 376(2)) - Total,Rape in Custody (Section 376(2)) - By Police Personnel (Sec.376(2) (a),Rape in Custody (Section 376(2)) - By Public Servant (Sec.376(2) (b),Rape in Custody (Section 376(2)) - By Member of Armed Forces (Sec.376(2) (c),Rape in Custody (Section 376(2)) - By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d),Rape in Custody (Section 376(2)) - By Management/ Staff of Hospital (Sec.376(2) (e),Other Than Custodial Rape (Section 376(2)) - Rape Other than Custodial (Total),Other Than Custodial Rape (Section 376(2)) - By Relative/Guardian/Teacher/person in position of trust (Sec.376(2) (f),Other Than Custodial Rape (Section 376(2)) - On Pregnant Women (Sec.376(2) (h),Other Than Custodial Rape (Section 376(2)) - On Women Below 16 years of age (Sec.376(2) (i),Other Than Custodial Rape (Section 376(2)) - On Women Incapable of giving Consent (Sec.376(2) (j),Other Than Custodial Rape (Section 376(2)) - By Persons in Control or Dominance over women (Sec.376(2) (k),Other Than Custodial Rape (Section 376(2)) - On Women with Mental or Physical disability (Sec.376(2)(l),Other Than Custodial Rape (Section 376(2)) - Endanger life of Women after Rape (Sec.376(2)(m),Other Than Custodial Rape (Section 376(2)) - Repeated Rape on same women (Sec.376(2)(n),Other Than Custodial Rape (Section 376(2)) - Other Custodial Rapes,Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)),Punishment for causing Death (Sec.376(A)),By Separated husband (Sec.376 (B)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)),By Person in Authority (Sec.376 (C)),Gang Rape (Sec.376(D)),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DB)),Punishment for Repeat offenders (Sec.376(E)),Rape (Total) (Sec.376 IPC)
1,State,Andhra Pradesh,578,6,3,0,0,1,2,297,19,0,108,0,1,9,0,79,81,59,1,0,13,1,12,0,4,0,971
2,State,Arunachal Pradesh,42,0,0,0,0,0,0,22,4,0,15,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,67
3,State,Assam,1476,1,1,0,0,0,0,148,90,0,10,0,43,0,0,0,5,0,0,2,0,0,20,1,0,0,1648
4,State,Bihar,625,0,0,0,0,0,0,17,11,0,0,0,0,2,0,1,3,0,0,0,0,0,8,1,0,0,651
5,State,Chhattisgarh,1257,3,3,0,0,0,0,743,340,0,354,30,0,2,0,17,0,10,5,0,14,1,38,4,10,6,2091
6,State,Goa,54,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,61
7,State,Gujarat,497,1,0,0,0,1,0,47,9,0,0,2,0,3,3,30,0,0,1,0,0,0,7,0,0,0,553
8,State,Haryana,841,0,0,0,0,0,0,196,11,0,0,0,0,1,0,183,1,1,14,14,2,10,155,0,8,55,1296
9,State,Himachal Pradesh,249,0,0,0,0,0,0,71,43,1,25,0,0,1,0,1,0,10,0,1,5,0,7,0,1,0,344
10,State,Jammu & Kashmir,255,0,0,0,0,0,0,65,49,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
11,State,Jharkhand,895,0,0,0,0,0,0,110,49,0,0,0,0,0,0,61,0,0,0,0,0,35,50,0,0,0,1090
12,State,Karnataka,438,0,0,0,0,0,0,44,24,0,0,0,0,6,0,14,0,0,0,2,0,0,8,0,0,0,492
13,State,Kerala,1252,0,0,0,0,0,0,645,207,6,181,2,6,9,1,233,0,10,2,1,11,0,13,2,9,0,1945
14,State,Madhya Pradesh,2575,23,5,4,0,14,0,2314,270,13,485,62,12,17,7,1444,4,84,11,6,56,2,198,7,25,132,5433
15,State,Maharashtra,1571,1,0,0,0,0,1,471,151,0,82,24,0,20,0,191,3,0,1,3,3,2,90,0,0,0,2142
16,State,Manipur,39,1,0,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52
17,State,Meghalaya,59,1,1,0,0,0,0,27,1,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,87
18,State,Mizoram,40,0,0,0,0,0,0,4,1,0,1,0,0,1,0,1,0,1,0,0,5,0,0,0,0,0,50
19,State,Nagaland,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
20,State,Odisha,472,0,0,0,0,0,0,426,384,0,7,0,0,1,1,33,0,2,0,2,1,1,14,0,0,0,918
21,State,Punjab,745,1,0,0,0,0,1,43,1,0,30,10,0,0,0,2,0,13,0,0,5,1,21,0,2,0,831
22,State,Rajasthan,2910,4,2,0,2,0,0,765,248,3,109,237,73,1,2,92,0,16,1,1,8,4,556,0,51,19,4335
23,State,Sikkim,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
24,State,Tamil Nadu,310,1,0,1,0,0,0,7,5,0,0,0,1,1,0,0,0,0,0,0,4,0,7,0,2,0,331
25,State,Telangana,465,0,0,0,0,0,0,114,15,0,15,28,0,1,1,53,1,0,1,1,4,0,21,0,0,0,606
26,State,Tripura,84,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0,1,97
27,State,Uttar Pradesh,3277,11,0,8,0,0,3,121,48,1,72,0,0,0,0,0,0,0,4,0,5,1,492,7,28,0,3946
